location,type,project,namespace,framework,references,hintpath
./TestDir/ProjectA/Optima.Login.Services.csproj,ASP.NET MVC 5/C#,csproj,Optima.Login.Services,v4.5.2,"",""
,,,,,"Codebook, Version=5.2.0.0, Culture=neutral, PublicKeyToken=071f2acc6b516d38, processorArchitecture=MSIL",..\..\..\..\Libraries\Codebook\bin\Codebook.dll
,,,,,"GiftRAP.ClassFactory",..\..\..\..\Libraries\GiftRAP.ClassFactory\GiftRAP.ClassFactory\bin\GiftRAP.ClassFactory.dll
,,,,,"GiftRAP.RO.Model",..\..\..\Rehab Optima\Server\GiftRAP.RO.MiddleTier\GiftRAP.RO.Model\bin\GiftRAP.RO.Model.dll
,,,,,"GiftRAP.RO.Services, Version=5.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\Rehab Optima\Server\GiftRAP.RO.MiddleTier\GiftRAP.RO.Services\bin\GiftRAP.RO.Services.dll
,,,,,"Microsoft.CSharp",
,,,,,"Newtonsoft.Json, Version=4.5.0.0, Culture=neutral, PublicKeyToken=30ad4fe6b2a6aeed, processorArchitecture=MSIL",..\..\..\..\Libraries\NewtonsoftJson\6.0.4\Newtonsoft.Json.dll
,,,,,"Optima.API.Security.Core",..\..\..\..\Libraries\Optima.API.Security.Core\Optima.API.Security.Core\bin\Optima.API.Security.Core.dll
,,,,,"Optima.API.Security.MVC5, Version=1.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\Optima.API.Security.MVC5\Optima.API.Security.MVC5\bin\Optima.API.Security.MVC5.dll
,,,,,"Optima.CryptoProvider, Version=1.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\Optima.CryptoProvider\Optima.CryptoProvider\bin\Optima.CryptoProvider.dll
,,,,,"Optima.Model",..\..\..\..\Libraries\Optima.Model\Optima.Model\bin\Optima.Model.dll
,,,,,"Optima.RO.API.Security.Core",..\..\..\Rehab Optima\Libraries\Optima.RO.API.Security.Core\Optima.RO.API.Security.Core\bin\Optima.RO.API.Security.Core.dll
,,,,,"Optima.RO.API.Security.Interfaces",..\..\..\Rehab Optima\Libraries\Optima.RO.API.Security.Interfaces\Optima.RO.API.Security.Interfaces\bin\Optima.RO.API.Security.Interfaces.dll
,,,,,"Optima.RO.API.Security.MVC5",..\..\..\Rehab Optima\Libraries\Optima.RO.API.Security.MVC5\Optima.RO.API.Security.MVC5\bin\Optima.RO.API.Security.MVC5.dll
,,,,,"Optima.RO.OpenIDConnect",..\..\..\Rehab Optima\Libraries\Optima.RO.OpenIDConnect\bin\Optima.RO.OpenIDConnect.dll
,,,,,"StructureMap",..\..\..\..\Libraries\StructureMap\StructureMap.dll
,,,,,"System.Net.Http",
,,,,,"System.Net.Http.Formatting, Version=4.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35, processorArchitecture=MSIL",..\..\..\..\Libraries\Microsoft\AspNet.WebApi.Client\5.2.3\lib\net45\System.Net.Http.Formatting.dll
,,,,,"System.Net.Http.WebRequest",
,,,,,"System.Runtime.Serialization",
,,,,,"System.Web.DynamicData",
,,,,,"System.Web.Entity",
,,,,,"System.Web.ApplicationServices",
,,,,,"System.ComponentModel.DataAnnotations",
,,,,,"System",
,,,,,"System.Data",
,,,,,"System.Core",
,,,,,"System.Data.DataSetExtensions",
,,,,,"System.Web.Extensions",
,,,,,"System.Web.Http, Version=4.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35, processorArchitecture=MSIL",..\..\..\..\Libraries\Microsoft\AspNet.WebApi.Core\5.2.3\lib\net45\System.Web.Http.dll
,,,,,"System.Web.Http.WebHost, Version=4.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35, processorArchitecture=MSIL",..\..\..\..\Libraries\Microsoft\AspNet.WebApi.WebHost\5.2.3\lib\net45\System.Web.Http.WebHost.dll
,,,,,"System.Web.Razor, Version=2.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35, processorArchitecture=MSIL",..\..\..\..\Libraries\Microsoft\AspNet.Razor\3.2.0\lib\net45\System.Web.Razor.dll
,,,,,"System.Web.WebPages, Version=2.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35, processorArchitecture=MSIL",..\..\..\..\Libraries\Microsoft\AspNet.WebPages\3.2.0\lib\net45\System.Web.WebPages.dll
,,,,,"System.Web.WebPages.Deployment, Version=2.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35, processorArchitecture=MSIL",..\..\..\..\Libraries\Microsoft\AspNet.WebPages\3.2.0\lib\net45\System.Web.WebPages.Deployment.dll
,,,,,"System.Web.WebPages.Razor, Version=2.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35, processorArchitecture=MSIL",..\..\..\..\Libraries\Microsoft\AspNet.WebPages\3.2.0\lib\net45\System.Web.WebPages.Razor.dll
,,,,,"System.Xml.Linq",
,,,,,"System.Drawing",
,,,,,"System.Web",
,,,,,"System.Xml",
,,,,,"System.Configuration",
,,,,,"System.Web.Services",
,,,,,"System.EnterpriseServices",
./TestDir/ProjectA/ProjectB/GiftRAP.RO.Client.vbproj,,vbproj,GiftRAP.Client,v4.5.2,"",""
,,,,,", Culture=neutral, PublicKeyToken=c8526a021ef298ed, processorArchitecture=MSIL",..\..\..\..\Libraries\Flee\0.9.26.0\Lib\bin\Ciloci.Flee.dll
,,,,,"CefSharp, Version=83.4.20.0, Culture=neutral, PublicKeyToken=40c4b6fc221f4138, processorArchitecture=x86",..\..\..\..\Libraries\CefSharp\CefSharp.Common.81.3.100\x86\CefSharp.dll
,,,,,"CefSharp.Core, Version=83.4.20.0, Culture=neutral, PublicKeyToken=40c4b6fc221f4138, processorArchitecture=x86",..\..\..\..\Libraries\CefSharp\CefSharp.Common.81.3.100\x86\CefSharp.Core.dll
,,,,,"CefSharp.WinForms, Version=83.4.20.0, Culture=neutral, PublicKeyToken=40c4b6fc221f4138, processorArchitecture=x86",..\..\..\..\Libraries\CefSharp\CefSharp.WinForms.81.3.100\x86\CefSharp.WinForms.dll
,,,,,"Codebook, Version=2.0.2.25076, Culture=neutral, PublicKeyToken=071f2acc6b516d38, processorArchitecture=MSIL",..\..\..\..\Libraries\Codebook\bin\Codebook.dll
,,,,,"DevExpress.Data.v7.2, Version=7.2.5.0, Culture=neutral, PublicKeyToken=9b171c9fd64da1d1, processorArchitecture=MSIL",..\..\..\..\Libraries\DevExpress\DevExpress.Data.v7.2.dll
,,,,,"DevExpress.Utils.v7.2, Version=7.2.5.0, Culture=neutral, PublicKeyToken=9b171c9fd64da1d1, processorArchitecture=MSIL",..\..\..\..\Libraries\DevExpress\DevExpress.Utils.v7.2.dll
,,,,,"DevExpress.XtraEditors.v7.2, Version=7.2.5.0, Culture=neutral, PublicKeyToken=9b171c9fd64da1d1, processorArchitecture=MSIL",..\..\..\..\Libraries\DevExpress\DevExpress.XtraEditors.v7.2.dll
,,,,,"DevExpress.XtraEditors.v7.2.Design, Version=7.2.5.0, Culture=neutral, PublicKeyToken=9b171c9fd64da1d1, processorArchitecture=MSIL",..\..\..\..\Libraries\DevExpress\DevExpress.XtraEditors.v7.2.Design.dll
,,,,,"DevExpress.XtraGrid.v7.2, Version=7.2.5.0, Culture=neutral, PublicKeyToken=9b171c9fd64da1d1, processorArchitecture=MSIL",..\..\..\..\Libraries\DevExpress\DevExpress.XtraGrid.v7.2.dll
,,,,,"DevExpress.XtraGrid.v7.2.Design, Version=7.2.5.0, Culture=neutral, PublicKeyToken=9b171c9fd64da1d1, processorArchitecture=MSIL",..\..\..\..\Libraries\DevExpress\DevExpress.XtraGrid.v7.2.Design.dll
,,,,,"DevExpress.XtraLayout.v7.2, Version=7.2.5.0, Culture=neutral, PublicKeyToken=9b171c9fd64da1d1",..\..\..\..\Libraries\DevExpress\DevExpress.XtraLayout.v7.2.dll
,,,,,"DevExpress.XtraNavBar.v7.2, Version=7.2.5.0, Culture=neutral, PublicKeyToken=9b171c9fd64da1d1",..\..\..\..\Libraries\DevExpress\DevExpress.XtraNavBar.v7.2.dll
,,,,,"DevExpress.XtraScheduler.v7.2, Version=7.2.5.0, Culture=neutral, PublicKeyToken=9b171c9fd64da1d1",..\..\..\..\Libraries\DevExpress\DevExpress.XtraScheduler.v7.2.dll
,,,,,"DevExpress.XtraScheduler.v7.2.Core, Version=7.2.5.0, Culture=neutral, PublicKeyToken=9b171c9fd64da1d1",..\..\..\..\Libraries\DevExpress\DevExpress.XtraScheduler.v7.2.Core.dll
,,,,,"DevExpressExtensions, Version=1.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\DevExpressExtensions\DevExpressExtensions\bin\DevExpressExtensions.dll
,,,,,"FileExport, Version=1.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\FileExport\FileExport\bin\FileExport.dll
,,,,,"GdPicture.NET.10, Version=10.2.0.6, Culture=neutral, PublicKeyToken=209474a1d4ddd90e, processorArchitecture=MSIL",..\..\..\..\Libraries\GDPicture\v10\Framework 3.5\GdPicture.NET.10.dll
,,,,,"GdPicture.NET.10.PDF, Version=3.1.0.6, Culture=neutral, PublicKeyToken=51c22536fc3bc6e1, processorArchitecture=MSIL",..\..\..\..\Libraries\GDPicture\v10\Framework 3.5\GdPicture.NET.10.PDF.dll
,,,,,"GiftRAP.ADO.Extender, Version=1.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\GiftRAP.ADO\GiftRAP.ADO.Extender\bin\GiftRAP.ADO.Extender.dll
,,,,,"GiftRAP.Application, Version=1.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\GiftRAP.Application\bin\GiftRAP.Application.dll
,,,,,"GiftRAP.BaseControls, Version=2.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\UIFramework\BaseControls\bin\GiftRAP.BaseControls.dll
,,,,,"GiftRAP.BaseData, Version=2.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\UIFramework\BaseData\bin\GiftRAP.BaseData.dll
,,,,,"GiftRAP.BaseForms, Version=2.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\UIFramework\BaseForms\bin\GiftRAP.BaseForms.dll
,,,,,"GiftRAP.ClassFactory, Version=1.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\GiftRAP.ClassFactory\GiftRAP.ClassFactory\bin\GiftRAP.ClassFactory.dll
,,,,,"GiftRAP.CodeEmitter, Version=1.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\GiftRAP.CodeEmitter\bin\GiftRAP.CodeEmitter.dll
,,,,,"GiftRAP.CodeGeneration, Version=1.0.0.0, Culture=neutral, processorArchitecture=MSIL",..\..\..\..\Libraries\GiftRAP.CodeGeneration\GiftRAP.CodeGeneration\bin\GiftRAP.CodeGeneration.dll
